Name,Ruralmunicipality (RM),Population(2011),Population(2006),Change(%),Landarea(km²),Populationdensity(per km²)
Foam Lake,Foam Lake No. 276,"1,148","1,123",2.2,6.06,189.4
Fort Qu'Appelle,North Qu'Appelle No. 187,"2,034","1,919",6,5.28,385
Francis,Francis No. 127,176,148,18.9,0.59,297.4
Govan,Last Mountain Valley No. 250,216,232,−6.9,1.35,159.7
Gravelbourg,Gravelbourg No. 104,"1,116","1,089",2.5,3.23,346
Grenfell,Elcapo No. 154,"1,049",947,10.8,3.17,331.2
Gull Lake,Gull Lake No. 139,989,965,2.5,2.5,395.6
Hafford,Redberry No. 435,397,360,10.3,0.8,496.8
Hague,Rosthern No. 403,878,707,24.2,1.08,815.5
Hanley,Rosedale No. 283,522,464,12.5,2.65,196.8
Hepburn,Laird No. 404,562,530,6,1.02,548.4
Herbert,Morse No. 165,759,742,2.3,3.78,200.7
Hudson Bay,Hudson Bay No. 394,"1,504","1,646",−8.6,17.35,86.7
Imperial,Big Arm No. 251,349,321,8.7,1.23,283.5
Indian Head,Indian Head No. 156,"1,815","1,634",11.1,3.17,572.1
