Name,Ruralmunicipality (RM),Population(2011),Population(2006),Change(%),Landarea(km²),Populationdensity(per km²)
Lemberg,Abernethy No. 186,274,255,7.5,2.67,102.7
Leroy,Leroy No. 339,427,412,3.6,1.06,402.1
Lumsden,Lumsden No. 189,"1,631","1,523",7.1,4.06,402
Luseland,Progress No. 351,566,571,−0.9,1.53,369.6
Macklin,Eye Hill No. 382,"1,415","1,290",9.7,3.14,450.7
Maidstone,Eldon No. 471,"1,156","1,037",11.5,4.56,253.5
Maple Creek,Maple Creek No. 111,"2,176","2,198",−1,4.42,492.1
Marshall,Wilton No. 472,594,608,−2.3,1.01,588.1
Midale,Cymri No. 36,562,462,21.6,1.53,368.5
Milestone,Brock No. 64,618,562,10,2.17,284.4
Moosomin,Moosomin No. 121,"2,485","2,262",9.9,7.59,327.5
Morse,Morse No. 165,240,236,1.7,1.45,165.7
Mossbank,Lake Johnston No. 102,327,330,−0.9,1.75,186.8
Naicam,Pleasantdale No. 398,686,690,−0.6,1.69,405.5
Nipawin,Nipawin No. 487,"4,265","4,076",4.6,8.71,489.4
