Name,Ruralmunicipality (RM),Population(2011),Population(2006),Change(%),Landarea(km²),Populationdensity(per km²)
Nokomis,Wreford No. 280,397,404,−1.7,2.61,152.3
Norquay,Clayton No. 333,435,412,5.6,1.69,258
Ogema,Key West No. 70,368,304,21.1,1.43,257.6
Osler,Corman Park No. 344,"1,088",926,17.5,1.55,700.6
Outlook,Rudy No. 284,"2,204","1,938",13.7,7.83,281.3
Oxbow,Enniskillen No. 3,"1,285","1,139",12.8,3.13,410
Pense,Pense No. 160,532,507,4.9,1.32,402.6
Pilot Butte,McLeod No. 185,"1,848","1,872",−1.3,5.05,365.6
Ponteix,Grassy Creek No. 78,605,531,13.9,1.09,556
Porcupine Plain,Porcupine No. 395,855,783,9.2,2.27,377.2
Preeceville,Preeceville No. 334,"1,070","1,050",1.9,3.06,350.2
Qu'Appelle,South Qu'Appelle No. 157,668,624,7.1,4.22,158.1
Radisson,Great Bend No. 405,505,421,20,2.07,243.6
Radville,Laurier No. 38,860,793,8.4,2.16,398.6
Raymore,Moose Range No. 486,568,581,−2.2,2.75,206.8
