Name,Ruralmunicipality (RM),Population(2011),Population(2006),Change(%),Landarea(km²),Populationdensity(per km²)
Ituna,Ituna Bon Accord No. 246,711,622,14.3,1.56,455.5
Kamsack,Cote No. 271,"1,825","1,713",6.5,5.85,311.8
Kelvington,Kelvington No. 366,890,866,2.8,3.89,228.8
Kerrobert,Progress No. 351,"1,061","1,001",6,7.49,141.7
Kindersley,Kindersley No. 290,"4,678","4,412",6,12.55,372.8
Kinistino,Kinistino No. 459,743,643,15.6,0.98,758.8
Kipling,Kingsley No. 124,"1,051",973,8,2.15,487.9
Kyle,Lacadena No. 228,437,423,3.3,1.14,383.1
Lafleche,Wood River No. 74,406,370,9.7,1.51,269.7
Lampman,Browning No. 34,713,634,12.5,2.23,319.9
Langenburg,Langenburg No. 181,"1,148","1,048",9.5,3.46,332.2
Langham,Corman Park No. 344,"1,290","1,120",15.2,3.98,324.4
Lanigan,Usborne No. 310,"1,390","1,233",12.7,8.34,166.8
Lashburn,Manitou Lake No. 442,967,914,5.8,3.11,310.5
Leader,Happyland No. 231,821,881,−6.8,1.71,481.2
