Name,Ruralmunicipality (RM),Population(2011),Population(2006),Change(%),Landarea(km²),Populationdensity(per km²),Extra_Data_1,Irrelevant_2
Waldheim,Laird No. 404,"1,035",868,19.2,1.97,525.5,776,VwngnO
Wapella,Martin No. 122,333,311,7.1,2.57,129.8,120,1rDYpdC
Watrous,Morris No. 312,"1,857","1,743",6.5,11.17,166.2,979,yKmMShH
Watson,Lakeside No. 338,777,719,8.1,2.83,274.7,272,G4qMHKw
Wawota,Wawken No. 93,560,522,7.3,1.24,451,71,0ibqK8
White City,Edenwold No. 158,"1,894","1,113",70.2,6,315.6,964,SoebHb
Whitewood,Willowdale No. 153,950,869,9.3,3.04,312,278,DLoZH0g
Wilkie,Tramping Lake No. 380,"1,301","1,222",6.5,9.48,137.3,636,JBzRRbJ
Willow Bunch,Willow Bunch No. 42,286,297,−3.7,0.84,339.2,236,OgdDTrGY
Wolseley,Wolseley No. 155,864,782,10.5,5.93,145.6,677,Y3MsqrGN
Wynyard,Big Quill No. 308,"1,767","1,744",1.3,5.29,334.1,846,xvdEj8aR
Yellow Grass,Scott No. 98,440,371,18.6,2.68,164.1,600,IQpxZQ
Zealandia,St. Andrews No. 287,80,90,−11.1,1.38,57.9,309,v9sx4
Total towns,Total towns,"137,725","127,795",7.8,473.50,290.9,516,NM0tne
