Year,Title,Peak chart positionsUS Country,Peak chart positionsUS,Album
1950,"\Make Up Your Mind\""""",—,—,non-album singles
1950,"\How Far Is Heaven\""""",—,—,non-album singles
1952,"\Glory Land March\""""",—,—,non-album singles
1952,"\It Wasn't God Who Made Honky Tonk Angels\""""",1,27,Country Hit Parade
1952,"\A Wedding Ring Ago\""""",—,—,The Kitty Wells Story
1953,"\The Things I Might Have Been\""""",—,22,Country Hit Parade
1953,"\Paying for That Back Street Affair\""""",6,—,Country Hit Parade
1953,"\Honky Tonk Waltz\""""",—,—,Country Heart
1953,"\I Don't Claim to Be an Angel\""""",—,—,Country Hit Parade
1953,"\Hey Joe\""""",8,—,Kitty Wells' Golden Favorites
1953,"\Cheatin's a Sin\""""",9,—,Country Hit Parade
1954,"\Release Me\""""",8,—,Country Hit Parade
1954,"\You're Not So Easy to Forget\""""",—,—,After Dark
1954,"\Thou Shalt Not Steal\""""",14,—,Kitty Wells
