Year,Title,Peak chart positionsUS Country,Peak chart positionsUS,Album,Dummy_Col_1,Unused_2
1955,"\Making Believe\""""",2,—,Country Hit Parade,zgkAIx,
1955,"\There's Poison in Your Heart\""""",9,—,Country Hit Parade,aEsgoBn,
1955,"\The Lonely Side of Town\""""",7,—,After Dark,FGCQNPbI,
1956,"\How Far Is Heaven\"" (with Carol Sue)""",11,—,Singing on Sunday,GDiex,
1956,"\Searching (For Someone Like You)\""""",3,—,Kitty Wells' Golden Favorites,vxbQKgzF,
1956,"\Repenting\""""",6,—,Kitty Wells' Golden Favorites,EbOEvsP,
1957,"\Three Ways (To Love You)\""""",7,—,Kitty Wells' Golden Favorites,OsCmQR,
1957,"\(I'll Always Be Your) Fraulein\""""",10,—,Kitty Wells' Golden Favorites,NFnzA,
1958,"\I Can't Stop Loving You\""""",3,—,Kitty Wells' Golden Favorites,pZrzXM,
1958,"\Jealousy\""""",7,78,Kitty Wells' Golden Favorites,UEdAn,
1958,"\Touch and Go Heart\""""",15,—,The Lonely Side of Town,EFERCBe,
1959,"\Mommy for a Day\""""",5,—,Kitty Wells' Golden Favorites,eirexq,
1959,"\Your Wild Life's Gonna Get You Down\""""",12,—,After Dark,kUmORH,
1959,"\Amigo's Guitar\""""",5,—,Seasons of My Heart,ROOpmgx,
