Year,Champion,City,LLWS,Record
1990,Cottage Hill LL,"Mobile, Alabama",Fifth Place (tie),1–1
1991,National LL,"Dunedin, Florida",Sixth Place,1–2
1992,South Lake Charles LL,"Lake Charles, Louisiana",Group Stage,1–2
1993,Tuckahoe American LL,"Richmond, Virginia",Group Stage,0–3
1994,Central Springfield LL,"Springfield, Virginia",Third Place (tie),2–2
1995,Northwest 45 LL,"Spring, Texas",Runner-Up,3–2
1996,R.L. Turner LL,"Panama City, Florida",Third Place (tie),3–1
1997,Manatee G.T. Bray East LL,"Bradenton, Florida",Third Place (tie),2–2
1998,Greenville LL,"Greenville, North Carolina",Third Place (tie),2–2
1999,National LL,"Phenix City, Alabama",Runner-Up,3–2
2000,Bellaire LL,"Bellaire, Texas",Runner-Up,3–2
