Year,Champion,City,LLWS,Record,Random_Column_1
1957,Industrial LL,"Monterrey, Nuevo León",Champions,2–0,rewFk
1958,National League of Gadsden LL,"Gadsden, Alabama",Third Place,2–1,Dt2Dm
1959,National League of Gadsden LL,"Gadsden, Alabama",First Round,0–1,O78RQ
1960,North East Optimist Club LL,"Fort Worth, Texas",Runner-Up,2–1,JDVk9
1961,El Campo LL,"El Campo, Texas",Runner-Up,2–1,G3Ek33Jc
1962,Val Verde County LL,"Del Rio, Texas",Fifth Place,2–1,54CFltmR
1963,North Houston LL,"North Houston, Texas",Fifth Place,1–1,qI6suF4B
1964,South Brookley LL,"Mobile, Alabama",Third Place,2–1,zodQC3e
1965,North Waco LL,"Waco, Texas",Third Place,2–1,el053Y
1966,Westbury American LL,"Houston, Texas",Champions,3–0,kkKgPl
1967,West Tampa LL,"Tampa, Florida",Fifth Place (tie),1–1,HvhI32
