Year,Champion,City,LLWS,Record
1979,Burns Park LL,"North Little Rock, Arkansas",Third Place,2–1
1980,Belmont Heights LL,"Tampa, Florida",Runner-Up,2–1
1981,Belmont Heights LL,"Tampa, Florida",Runner-Up,2–1
1982,American LL,"Sarasota, Florida",Seventh Place,1–2
1983,East Marietta National LL,"Marietta, Georgia",Champions,3–0
1984,National LL,"Altamonte, Florida",Runner-Up,2–1
1985,American LL,"Morristown, Tennessee",Third Place,2–1
1986,American LL,"Sarasota, Florida",Third Place,2–1
1987,American LL,"Morristown, Tennessee",Seventh Place (tie),0–2
1988,Northwest 45 LL,"Spring, Texas",Third Place,2–1
1989,Northside LL,"Tampa, Florida",Fifth Place,2–1
