Rank,Census subdivision,Province,Type,"Land area(km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in % 2006–2011,Change in % 1996–2011
11,Quebec City,Quebec,ville,454.10,"516,622","491,142","476,330","467,728",5.2,10.5
12,Surrey,British Columbia,city,316.41,"468,251","394,976","347,820","304,477",18.6,53.9
13,Laval,Quebec,ville,247.09,"401,553","368,709","343,005","330,393",8.9,21.5
14,Halifax,Nova Scotia,regional municipality,"5,490.28","390,096","372,679","359,111","342,851",4.7,14.1
15,London,Ontario,city,420.57,"366,151","352,395","336,539","325,669",3.9,12.6
16,Markham,Ontario,city,212.58,"301,709","261,573","208,615","173,383",15.3,74.0
17,Vaughan,Ontario,city,273.52,"288,301","238,866","182,022","132,549",20.7,118.2
18,Gatineau,Quebec,ville,342.98,"265,349","242,124","226,696","217,591",9.6,22.1
19,Longueuil,Quebec,ville,115.59,"231,409","229,330","225,761","225,722",0.9,2.7
20,Burnaby,British Columbia,city,90.61,"223,218","202,799","193,954","179,209",10.1,24.6
