Rank,Census subdivision,Province,Type,"Land area(km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in % 2006–2011,Change in % 1996–2011
81,New Westminster,British Columbia,city,15.63,"65,976","58,549","54,656","49,350",12.7,33.7
82,Wood Buffalo,Alberta,specialized municipality,"63,637.47","65,565","51,496","41,445","35,213",27.3,86.2
83,Granby,Quebec,ville,152.72,"63,433","47,637","44,121","43,316",6.8,46.4
84,Norfolk County,Ontario,city,"1,607.60","63,175","62,563","60,847","60,534",1.0,4.4
85,St. Albert,Alberta,city,48.27,"61,466","57,719","53,081","46,888",6.4,31.1
86,Medicine Hat,Alberta,city,112.01,"60,005","56,997","51,249","46,783",5.3,28.3
87,Caledon,Ontario,town,688.15,"59,460","57,050","50,605","39,893",4.2,49.1
88,Halton Hills,Ontario,town,276.25,"59,008","55,289","48,184","42,390",6.7,39.2
89,Port Coquitlam,British Columbia,city,29.17,"56,342","52,687","51,257","46,682",6.9,20.7
90,Fredericton,New Brunswick,city,131.67,"56,224","50,535","47,580","46,507",11.3,20.9
