Rank,Census subdivision,Province,Type,"Land area(km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in % 2006–2011,Change in % 1996–2011
41,Whitby,Ontario,town,146.53,"122,022","111,184","87,413","73,794",9.7,64.9
42,Guelph,Ontario,city,87.20,"121,688","114,943","106,170","95,821",5.9,26.1
43,Kelowna,British Columbia,city,211.62,"117,312","106,707","96,288","89,442",9.6,31.5
44,Saanich,British Columbia,district municipality,103.78,"109,752","108,265","103,654","101,388",1.4,7.9
45,Ajax,Ontario,town,67.07,"109,600","90,167","73,753","64,430",21.6,70.3
46,Thunder Bay,Ontario,city,328.24,"108,359","109,140","109,016","113,662",−0.7,−4.4
47,Terrebonne,Quebec,ville,154.74,"106,322","94,703","80,536","75,116",12.3,41.3
48,St. John's,Newfoundland and Labrador,city,446.04,"106,172","100,646","99,182","101,936",5.5,4.0
49,Langley,British Columbia,district municipality,308.03,"104,177","93,726","86,896","80,179",11.2,30.0
50,Chatham-Kent,Ontario,municipality,"2,458.09","103,671","108,177","107,341","109,950",−4.2,−5.8
