Rank,Census subdivision,Province,Type,"Land area(km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in % 2006–2011,Change in % 1996–2011
31,Oshawa,Ontario,city,145.68,"149,607","141,590","139,051","134,464",5.7,11.1
32,Saguenay,Quebec,ville,"1,126.48","144,746","143,692","147,133","152,811",0.7,−5.2
33,Lévis,Quebec,ville,449.31,"138,769","130,006","121,999","103,750",6.7,33.9
34,Barrie,Ontario,city,77.39,"135,711","128,430","103,710","79,191",5.7,70.9
35,Abbotsford,British Columbia,city,375.55,"133,497","123,864","115,494","105,403",7.4,26.7
36,St. Catharines,Ontario,city,96.11,"131,400","131,989","129,170","130,926",−0.4,0.4
37,Trois-Rivières,Quebec,ville,288.90,"131,338","126,323","122,395","124,417",4.0,5.6
38,Cambridge,Ontario,city,113.00,"126,748","120,371","110,372","101,429",5.3,24.6
39,Coquitlam,British Columbia,city,122.30,"126,456","114,565","112,890","101,820",10.4,24.8
40,Kingston,Ontario,city,451.17,"123,363","117,207","114,195","112,605",5.3,9.8
