Rank,Census subdivision,Province,Type,"Land area(km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in % 2006–2011,Change in % 1996–2011
1,Toronto,Ontario,city,630.21,"2,615,060","2,503,281","2,481,494","2,385,421",4.5,9.6
2,Montreal,Quebec,ville,365.13,"1,649,519","1,620,693","1,583,590","1,547,030",1.8,6.6
3,Calgary,Alberta,city,825.29,"1,096,833","988,193","879,003","768,082",10.9,42.7
4,Ottawa,Ontario,city,"2,790.22","883,391","812,129","774,072","721,136",8.8,22.5
5,Edmonton,Alberta,city,684.37,"812,201","730,372","666,104","616,306",11.2,31.8
6,Mississauga,Ontario,city,292.40,"713,443","668,549","612,000","544,382",6.7,31.1
7,Winnipeg,Manitoba,city,464.08,"663,617","633,451","619,544","618,477",4.8,7.3
8,Vancouver,British Columbia,city,114.97,"603,502","578,041","545,671","514,008",4.4,17.3
9,Brampton,Ontario,city,266.34,"523,911","433,806","325,428","268,251",20.8,95.1
10,Hamilton,Ontario,city,"1,117.23","519,949","504,559","490,268","467,799",3.1,11.1
