Rank,Census subdivision,Province,Type,"Land area(km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in % 2006–2011,Change in % 1996–2011
71,Chilliwack,British Columbia,city,261.50,"77,936","69,217","62,567","60,186",12.6,29.5
72,Maple Ridge,British Columbia,district municipality,266.78,"76,052","68,949","63,169","56,173",10.3,35.4
73,Sault Ste. Marie,Ontario,city,223.26,"75,141","74,948","74,566","80,054",0.3,−6.3
74,Kawartha Lakes,Ontario,city,"3,083.06","73,214","74,561","69,179","67,926",−1.8,7.8
75,Sarnia,Ontario,city,164.71,"72,366","71,419","70,876","72,738",1.3,−0.5
76,Prince George,British Columbia,city,318.26,"71,974","70,981","72,406","75,510",1.4,−4.7
77,Drummondville,Quebec,ville,246.85,"71,852","67,392","63,029","58,588",6.6,22.6
78,Saint John,New Brunswick,city,315.82,"70,063","68,043","69,661","72,494",3.0,-3.4
79,Moncton,New Brunswick,city,141.17,"69,074","64,128","61,046","59,313",7.7,16.5
80,Saint-Jérôme,Quebec,ville,90.52,"68,456","63,729","59,614","59,533",7.4,15.0
