Rank,Census subdivision,Province,Type,"Land area(km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in % 2006–2011,Change in % 1996–2011
91,Grande Prairie,Alberta,city,72.80,"55,032","47,076","36,983","31,353",16.8,75.5
92,North Bay,Ontario,city,319.05,"53,651","53,966","52,771","54,332",−0.6,−1.2
93,Blainville,Quebec,ville,55.10,"53,510","46,493","36,029","29,603",15.1,80.8
94,Saint-Hyacinthe,Quebec,ville,188.69,"53,236","51,616","50,394","50,027",3.1,6.4
95,Aurora,Ontario,town,49.78,"53,203","47,629","40,167","34,857",11.7,52.6
96,Welland,Ontario,city,81.09,"50,631","50,331","48,402","48,411",0.6,4.6
97,Shawinigan,Quebec,ville,733.48,"50,060","51,904","52,040","56,721",−3.6,−11.7
98,Dollard-des-Ormeaux,Quebec,ville,15.10,"49,637","48,930","48,206","47,826",1.4,3.8
99,Belleville,Ontario,city,247.21,"49,454","48,821","46,029","46,195",1.3,7.1
100,North Vancouver,British Columbia,city,11.83,"48,196","45,165","44,303","41,475",6.7,16.2
