Rank,Census subdivision,Province,Type,"Land area(km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in % 2006–2011,Change in % 1996–2011,Dummy_Col_1
21,Saskatoon,Saskatchewan,city,209.56,"222,189","202,340","196,861","193,653",9.8,15.0,jGqWa
22,Kitchener,Ontario,city,136.79,"219,153","204,668","190,399","178,420",7.1,22.3,SJmKp
23,Windsor,Ontario,city,146.32,"210,891","216,473","209,218","197,694",−2.6,6.6,EGDBLaec
24,Regina,Saskatchewan,city,145.45,"193,100","179,246","178,225","180,404",7.7,7.2,rhuiO
25,Richmond,British Columbia,city,129.27,"190,473","174,461","164,345","148,867",9.2,28.4,FTWdZmUk
26,Richmond Hill,Ontario,town,100.95,"185,541","162,704","132,030","101,725",14.0,83.1,JlWREfp
27,Oakville,Ontario,town,138.88,"182,520","165,613","144,738","128,405",10.2,42.2,RniiOYGW
28,Burlington,Ontario,city,185.66,"175,779","164,415","150,836","136,976",6.9,28.7,DzMrv
29,Greater Sudbury,Ontario,city,"3,227.38","160,274","157,857","155,219","165,336",1.5,−3.2,uQvtpvx
30,Sherbrooke,Quebec,ville,353.49,"154,601","147,427","138,785","136,883",4.9,13.2,GwUAdZd
