Rank,Census subdivision,Province,Type,"Land area(km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in % 2006–2011,Change in % 1996–2011
51,Delta,British Columbia,district municipality,180.11,"99,863","96,723","96,950","95,411",3.3,4.7
52,Waterloo,Ontario,city,64.02,"98,780","97,475","86,543","77,949",1.3,26.7
53,Cape Breton,Nova Scotia,regional municipality,"2,433.35","97,398","102,250","105,968","114,733",−4.7,−15.2
54,Brantford,Ontario,city,72.47,"93,650","90,192","86,417","86,417",3.8,8.4
55,Strathcona County,Alberta,specialized municipality,"1,180.56","92,490","82,511","71,986","64,176",12.1,44.1
56,Saint-Jean-sur-Richelieu,Quebec,ville,225.78,"92,394","87,492","79,600","76,461",5.6,20.8
57,Red Deer,Alberta,city,104.29,"90,564","82,772","67,829","60,080",8.9,50.7
58,Pickering,Ontario,city,231.59,"88,721","87,838","87,139","78,989",1.0,12.3
59,Kamloops,British Columbia,city,299.23,"85,678","80,376","77,281","76,394",6.6,12.2
60,Clarington,Ontario,municipality,611.30,"84,548","77,820","69,834","60,615",8.6,39.5
