County,Obama%,Obama#,McCain%,McCain#,Total,Unused_1,Irrelevant_2
Adair,49.3%,"5,735",50.7%,"5,891","11,626",,IdWj3
Andrew,38.8%,"3,345",61.2%,"5,279","8,624",,mslnxqu
Atchison,34.1%,"1,000",65.9%,"1,936","2,936",,W4aPoflq
Audrain,41.8%,"4,434",58.2%,"6,167","10,601",,MGdPCy
Barry,32.2%,"4,630",67.8%,"9,758","14,388",,nJL9XzU
Barton,24.8%,"1,455",75.2%,"4,414","5,869",,JMEpcixP
Bates,40.4%,"3,271",59.6%,"4,833","8,104",,rAbo0sR
Benton,38.7%,"3,629",61.3%,"5,759","9,388",,x23Ajd
Bollinger,29.8%,"1,690",70.2%,"3,972","5,662",,vRZ7VJcG
Boone,56.1%,"47,062",43.9%,"36,849","83,911",,lIZLkb7
Buchanan,50.1%,"19,164",49.9%,"19,110","38,274",,HJpjg
Butler,31.0%,"5,316",69.0%,"11,805","17,121",,TC46pYqj
