County,Obama%,Obama#,McCain%,McCain#,Total,Random_Column_1,Irrelevant_2,Unused_3
Platte,46.7%,"21,459",53.3%,"24,460","45,919",zujFA,J1r4FsR,
Polk,33.7%,"4,553",66.3%,"8,956","13,509",Pal1BD,KT6RmOLq,
Pulaski,35.5%,"5,249",64.5%,"9,552","14,801",sfEdTsx7,k3wRiYVE,
Putnam,30.4%,695,69.6%,"1,591","2,286",AZBL8SKH,tjmGq,
Ralls,40.6%,"2,041",59.4%,"2,987","5,028",fKpFciH,SJF3aBp,
Randolph,38.2%,"3,984",61.8%,"6,457","10,441",DmmEtl4n,ypNG69,
Ray,48.4%,"5,241",51.6%,"5,593","10,834",l6Uw8,gWcVnkfC,
Reynolds,44.3%,"1,417",55.7%,"1,780","3,197",bTLEr,WxJCpQtQ,
Ripley,34.5%,"1,795",65.5%,"3,407","5,202",4D9Qusl,bZ7LBx,
Saline,48.7%,"4,712",51.3%,"4,962","9,674",BMZ27,OgPo4,
Schuyler,40.5%,775,59.5%,"1,139","1,914",KUCUda,4W6fv6vF,
