County,Obama%,Obama#,McCain%,McCain#,Total
Gasconade,37.8%,"2,899",62.2%,"4,763","7,662"
Gentry,38.6%,"1,235",61.4%,"1,964","3,199"
Greene,42.0%,"56,181",58.0%,"77,683","133,864"
Grundy,34.5%,"1,580",65.5%,"3,006","4,586"
Harrison,33.9%,"1,287",66.1%,"2,512","3,799"
Henry,44.4%,"4,869",55.6%,"6,095","10,964"
Hickory,43.2%,"2,171",56.8%,"2,850","5,021"
Holt,30.9%,802,69.1%,"1,794","2,596"
Howard,42.9%,"2,036",57.1%,"2,708","4,744"
Howell,34.3%,"5,736",65.7%,"10,982","16,718"
Iron,51.4%,"2,213",48.6%,"2,090","4,303"
Jackson,62.8%,"210,824",37.2%,"124,687","335,511"
