County,Obama%,Obama#,McCain%,McCain#,Total
Jasper,33.2%,"15,730",66.8%,"31,667","47,397"
Jefferson,51.3%,"53,467",48.7%,"50,804","104,271"
Johnson,43.8%,"9,480",56.2%,"12,183","21,663"
Knox,38.5%,759,61.5%,"1,212","1,971"
Laclede,32.4%,"5,218",67.6%,"10,875","16,093"
Lafayette,42.2%,"6,902",57.8%,"9,442","16,344"
Lawrence,31.2%,"5,097",68.8%,"11,263","16,360"
Lewis,41.5%,"1,837",58.5%,"2,594","4,431"
Lincoln,44.2%,"10,234",55.8%,"12,924","23,158"
Linn,45.7%,"2,638",54.3%,"3,140","5,778"
Livingston,37.9%,"2,435",62.1%,"3,993","6,428"
Macon,37.8%,"2,784",62.2%,"4,586","7,370"
