County,Obama%,Obama#,McCain%,McCain#,Total
Clinton,44.3%,"4,545",55.7%,"5,709","10,254"
Cole,36.4%,"13,959",63.6%,"24,385","38,344"
Cooper,37.9%,"2,996",62.1%,"4,902","7,898"
Crawford,39.4%,"3,911",60.6%,"6,007","9,918"
Dade,29.2%,"1,184",70.8%,"2,864","4,048"
Dallas,35.2%,"2,656",64.8%,"4,895","7,551"
Daviess,38.2%,"1,400",61.8%,"2,263","3,663"
DeKalb,36.9%,"1,692",63.1%,"2,889","4,581"
Dent,30.6%,"2,056",69.4%,"4,655","6,711"
Douglas,32.7%,"2,140",67.3%,"4,405","6,545"
Dunklin,39.2%,"4,540",60.8%,"7,044","11,584"
Franklin,43.7%,"21,256",56.3%,"27,355","48,611"
