County,Obama%,Obama#,McCain%,McCain#,Total,Irrelevant_1
Caldwell,40.6%,"1,814",59.4%,"2,654","4,468",u9T0T
Callaway,40.8%,"7,850",59.2%,"11,389","19,239",I7IvD
Camden,35.6%,"7,773",64.4%,"14,074","21,847",FJCDU
Cape Girardeau,33.0%,"12,208",67.0%,"24,768","36,976",vrUFsAtw
Carroll,34.2%,"1,535",65.8%,"2,955","4,490",5hEBM
Carter,34.8%,984,65.2%,"1,840","2,824",kE2zJ5
Cass,40.1%,"19,844",59.9%,"29,695","49,539",08QHeC
Cedar,32.9%,"2,060",67.1%,"4,194","6,254",Wov9lIZ
Chariton,43.5%,"1,799",56.5%,"2,339","4,138",5gy5oC
Christian,31.9%,"11,883",68.1%,"25,382","37,265",HRYKsU
Clark,46.9%,"1,572",53.1%,"1,782","3,354",0LwF1tTP
Clay,49.7%,"53,761",50.3%,"54,516","108,277",fKhfyY
