County,Obama%,Obama#,McCain%,McCain#,Total,Unused_1,Random_Column_2,Dummy_Col_3
New Madrid,42.3%,"3,370",57.7%,"4,593","7,963",,gVOe3HB,gfYAG
Newton,29.7%,"7,450",70.3%,"17,637","25,087",,fQnpe,PbByMO
Nodaway,44.7%,"4,493",55.3%,"5,568","10,061",,CMDkYZ,bPahJPMm
Oregon,40.6%,"1,811",59.4%,"2,652","4,463",,zwd3TY4,TmBsHodO
Osage,27.4%,"1,907",72.6%,"5,062","6,969",,3BXwaT,ZmHxsO
Ozark,36.3%,"1,661",63.7%,"2,918","4,579",,pQRIVc,BZrxs
Pemiscot,43.4%,"3,029",56.6%,"3,954","6,983",,c2CSpHLW,ZuCcb
Perry,35.2%,"3,005",64.8%,"5,527","8,532",,dZXYRjY,udqsGe
Pettis,38.6%,"6,932",61.4%,"11,018","17,950",,4QcOlN3,dzwvQ
Phelps,38.7%,"7,394",61.3%,"11,706","19,100",,ZGPu0I,fEEcs
Pike,45.0%,"3,487",55.0%,"4,268","7,755",,BcRhC0B,mZaMOLV
