County,Obama%,Obama#,McCain%,McCain#,Total,Irrelevant_1,Noise_Field_2
Madison,41.3%,"2,042",58.7%,"2,897","4,939",MtNfJ,OKgKqoR
Maries,35.9%,"1,599",64.1%,"2,853","4,452",2Yt8J,NGNzj
Marion,37.9%,"4,703",62.1%,"7,705","12,408",NCS7w,creJSGp
McDonald,30.9%,"2,454",69.1%,"5,499","7,953",5DY7f0,snahPS
Mercer,30.7%,519,69.3%,"1,169","1,688",jJc7NS3u,gfini
Miller,31.3%,"3,553",68.7%,"7,797","11,350",GkBv5199,DXmRs
Mississippi,42.5%,"2,247",57.5%,"3,034","5,281",HpfdW3,MzMhHm
Moniteau,31.8%,"2,084",68.2%,"4,467","6,551",E71bv,LYlaI
Monroe,40.2%,"1,703",59.8%,"2,533","4,236",XeZ2f,jKkkyUN
Montgomery,40.6%,"2,347",59.4%,"3,428","5,775",1OrNnFyP,QiUrK
Morgan,39.5%,"3,565",60.5%,"5,451","9,016",ApPcpN,rUwNNNv
