County,Obama%,Obama#,McCain%,McCain#,Total
Stone,31.1%,"5,029",68.9%,"11,147","16,176"
Sullivan,42.2%,"1,173",57.8%,"1,607","2,780"
Taney,31.2%,"6,683",68.8%,"14,736","21,419"
Texas,32.1%,"3,410",67.9%,"7,215","10,625"
Vernon,38.8%,"3,381",61.2%,"5,334","8,715"
Warren,43.6%,"6,705",56.4%,"8,675","15,380"
Washington,50.0%,"4,711",50.0%,"4,706","9,417"
Wayne,37.2%,"2,243",62.8%,"3,784","6,027"
Webster,35.3%,"5,685",64.7%,"10,431","16,116"
Worth,37.7%,427,62.3%,707,"1,134"
Wright,30.7%,"2,557",69.3%,"5,784","8,341"
