County,Obama%,Obama#,McCain%,McCain#,Total
Scotland,38.8%,793,61.2%,"1,249","2,042"
Scott,35.1%,"6,258",64.9%,"11,563","17,821"
Shannon,44.1%,"1,637",55.9%,"2,075","3,712"
Shelby,34.0%,"1,114",66.0%,"2,166","3,280"
St. Charles,45.1%,"84,183",54.9%,"102,550","186,733"
St. Clair,38.8%,"1,886",61.2%,"2,981","4,867"
St. Francois,47.7%,"11,540",52.3%,"12,660","24,200"
St. Louis City,84.4%,"132,925",15.6%,"24,662","157,587"
St. Louis County,60.0%,"333,123",40.0%,"221,705","554,828"
Ste. Genevieve,57.2%,"4,979",42.8%,"3,732","8,711"
Stoddard,29.8%,"3,899",70.2%,"9,172","13,071"
