Date,Opponent,Venue,Result,Dummy_Col_1,Noise_Field_2,Filler_3
1 Jan,Arsenal,A,2 - 3,RMpzJweH,tIUjcnDw,WHpXDLK
15 Jan,Burnley,H,0 - 0,yMkVZuam,tTKmPmb,VTsNuFN
31 Jan,Aston Villa,A,0 - 0,RbhlowdN,OdVpcTCl,CfRfGq
5 Feb,Bolton Wanderers,H,1 - 0,nvCFogm,WfxCmkX,JqWNBkhE
12 Feb,Manchester United,A,1 - 1,HJKjBxBp,mCyMfpeg,LMedLq
21 Feb,West Bromwich Albion,A,2 - 1,JdwTP,gusljJeF,fLoADLjU
26 Feb,Sheffield United,A,1 - 3,XTdtXuK,jmBhHul,WYztlo
12 Mar,Sunderland,A,2 - 2,hNAinZh,SDqZrqlr,DIiBF
16 Mar,Derby County,H,2 - 0,pHWWz,jNWelx,zKvwoOr
19 Mar,Bury,H,2 - 1,otyUY,pCbAKDH,jxTZaYRa
