Date,Opponent,Venue,Result,Dummy_Col_1,Noise_Field_2,Irrelevant_3
28 Aug,Burnley,A,3 - 4,SBhssDQC,uIJbml,TvPcUn
30 Aug,Leeds United,A,0 - 0,mbDOiSd,vDtrhVw,pCSZLrg
4 Sep,West Bromwich Albion,H,1 - 1,vyvRTG,KPPvGN,fZs2M
6 Sep,Leeds United,H,3 - 1,nZRAAX,RhTmKKw,gKubqjO
11 Sep,Aston Villa,H,2 - 3,ubLod,iNAjjp,JQiQwayZ
18 Sep,Bolton Wanderers,A,0 - 2,dSaAov,fhuZUI,vZN9r
20 Sep,Newcastle United,H,1 - 1,bNOrk,nXZZu,H4M0UM1Y
25 Sep,Manchester United,H,0 - 2,ymVUnq,wYNpRDb,yoLkH
2 Oct,Derby County,A,3 - 6,VFmSsX,QgGGvDH,4mYHw
9 Oct,Sheffield United,H,3 - 0,nlVQbk,SzlfPXvD,mh755Dr
16 Oct,Huddersfield Town,A,0 - 0,VkIQPbW,jEcucm,Ecgkuklj
