#,Date,Opponent,Score,Win,Loss,Save,Attendance,Record,Dummy_Col_1,Dummy_Col_2,Extra_Data_3
150,September 17,Brewers,6 - 0,Gallardo (9-4),Albers (4-9),,"32,578",65-85,nJIYKdd,YmNZcIsV,992
151,September 18,Brewers,9 - 1,Vargas (11-4),Paulino (0-1),,"32,866",65-86,ZZtBP,fbxCHF,347
152,September 19,Brewers,5 - 4 (10),Lidge (5-2),Wise (3-2),,"36,981",66-86,BttWOZkd,oTivQXYn,606
153,September 20,@ Cardinals,18 - 1,Rodríguez (9-13),Looper (12-11),,"42,171",67-86,BcQaKMAv,uUOGq,712
154,September 21,@ Cardinals,6 - 3,Backe (2-1),Piñeiro (6-5),Lidge (16),"43,677",68-86,ZDbJRjL,NwYjy,405
155,September 22,@ Cardinals,7 - 4,Thompson (7-6),Albers (4-10),Isringhausen (30),"46,237",68-87,YyRvk,TkLMe,145
156,September 23,@ Cardinals,4 - 3,Jiménez (3-0),Lidge (5-3),,"46,169",68-88,eXojyaMi,scdIFynM,133
157,September 25,@ Reds,8 - 5,Paulino (1-1),Coutlangus (4-2),Lidge (17),"13,261",69-88,AVluQHTh,flRmJmkc,384
158,September 26,@ Reds,7 - 6,Sarfate (1-0),Burton (4-2),Qualls (5),"13,138",70-88,qauoIo,iNpEfKbo,653
159,September 27,@ Reds,4 - 3,Borkowski (5-3),Majewski (0-4),Lidge (18),"13,626",71-88,LjAFoysB,TLCKnQ,903
160,September 28,Braves,7 - 2,Reyes (2-2),Albers (4-11),,"43,011",71-89,zijIo,Zunedqn,419
161,September 29,Braves,3 - 2,Backe (3-1),Bennett (2-1),Lidge (19),"43,624",72-89,QbSgvjXH,JMMfTfMw,693
162,September 30,Braves,3 - 0,Paulino (2-1),Carlyle (8-7),Borkowski (1),"43,823",73-89,irqDYFk,vebOl,152
