Edition,Year,Men's winner,Time (m:s),Women's winner,Time (m:s),Filler_1
1st,1990,Marti ten Kate (NED),47:52,Alison Gooderham (GBR),56:09,KqbcSMr
2nd,1991,Thomas Naali (TAN),47:11,Olga Bondarenko (URS),53:16,uyrOK
3rd,1992,Boay Akonay (TAN),47:04,Iulia Negura (ROM),53:19,qbDuW
4th,1993,Gary Staines (GBR),46:11,Iulia Negura (ROM),53:01,aNQCxp
5th,1994,Gary Staines (GBR),47:00,Gitte Karlshøj (DEN),54:49,VNXTshC
6th,1995,Benson Masya (KEN),45:56,Liz McColgan (GBR),53:12,mVnjf
7th,1996,Gary Staines (GBR),46:57,Derartu Tulu (ETH),52:39,EYMut
8th,1997,Christopher Kelong (KEN),46:53,Liz McColgan (GBR),52:00,faaiGhs
9th,1998,Stéphane Franke (GER),47:40,Marian Sutton (GBR),54:17,lyDeSNww
10th,1999,Simon Kasimili (KEN),47:42,Esther Kiplagat (KEN),54:42,UvjdCi
11th,2000,Gert Thys (RSA),48:26,Restituta Joseph (TAN),55:10,eqfOfQ
12th,2001,Khalid Skah (MAR),46:17,Restituta Joseph (TAN),52:36,tiDPxCec
