Date,Opponent,Score,Leading Scorer,Attendance,Record,Filler_1
May 17,@ Indiana,53-64,Nakia Sanford (14),"10,533",0-1,NYQsk
May 22,@ New York,60-79,Taj McWilliams-Franklin (26),"7,071",0-2,Jotmvzn
May 25,vs. Houston,69-66,Alana Beard (16),"10,441",1-2,RFtBD
May 27,vs. Atlanta,80-74,Alana Beard (25),"6,231",2-2,EZXKGI
May 31,vs. Los Angeles,59-70,Monique Currie (15),"11,517",2-3,qyUterqT
June 3,@ Phoenix,93-98,Alana Beard (33),"7,561",2-4,CHOUvCez
June 6,@ San Antonio,52-63,Alana Beard (13),"5,800",2-5,IDTJJYs
June 8,@ Connecticut,79-87,Monique Currie (28),"7,174",2-6,ASDfTlAp
June 11,vs. Sacramento,76-79,Taj McWilliams-Franklin (23),"6,146",2-7,XpevZ
June 13,@ Chicago,64-57,Alana Beard (22),"2,600",3-7,YUpsy
June 18,@ Houston,67-63,Alana Beard (23),"7,054",4-7,WSJArV
June 20,vs. Atlanta,72-61,Alana Beard (18),"7,448",5-7,gkEXSl
