Season,Level,Division,Section,Position,Movements,Extra_Data_1
1960,Tier 4,Division 4,Hälsingland,3rd,,300
1961,Tier 4,Division 4,Hälsingland,2nd,,467
1962,Tier 4,Division 4,Hälsingland,1st,Promoted,314
1963,Tier 3,Division 3,Södra Norrland,6th,,396
1964,Tier 3,Division 3,Södra Norrland Nedre,4th,,713
1965,Tier 3,Division 3,Södra Norrland Nedre,10th,Relegated,652
1966,Tier 4,Division 4,Hälsingland,9th,,940
1967,Tier 4,Division 4,Hälsingland,2nd,,399
1968,Tier 4,Division 4,Hälsingland,6th,,872
1969,Tier 4,Division 4,Hälsingland,3rd,,289
1970,Tier 4,Division 4,Hälsingland,2nd,,35
1971,Tier 4,Division 4,Hälsingland,1st,Promotion Playoffs – Promoted,570
