Name,Date,Nation,Displacement,Speed,Number,Notes,Dummy_Col_1
Dealey-class,1954,US,"1,450 tons",25 knots,13,,SZdKwgcX
Type E50 frigate,1955,France,"1,290 tons",28 knots,4,fast,gIZXAdB
Type 14 frigate,1955,UK,"1,180 tons",24 knots,8,anti-submarine,sWzjlHw
St. Laurent-class,1955,Canada,"2,263 tons",28 knots,7,anti-submarine,FfDsJv
Type B,1956,Japan,"1,070 tons",25 knots,2,diesel,jrLnTM
Type 12 frigate,1956,UK,"2,150 tons",31 knots,6,anti-submarine,HPRuh
Type E52 frigate,1956,France,"1,295 tons",28 knots,14,fast,ZWuPlTO
Almirante Clemente-class light destroyer,1956,Venezuela,"1,300 tons",32 knots,6,fast,NhVpo
Type 61 frigate,1957,UK,"2,170 tons",24 knots,4,aircraft direction,xMOGaKhn
Canopo-class frigate,1957,Italy,"1,807 tons",26 knots,4,,zsKBCU
Type 41 frigate,1957,UK,"2,300 tons",24 knots,4,anti-aircraft,BGRpx
Azopardo-class frigate,1957,Argentina,"1,160 tons",20 knots,2,,wyEBRI
