Name,Date,Nation,Displacement,Speed,Number,Notes,Noise_Field_1
Restigouche-class,1958,Canada,"2,366 tons",28 knots,7,anti-submarine,RlwjmKY
Claud Jones-class,1959,US,"1,450 tons",22 knots,4,,RYMoXe
Type 12M frigate,1960,UK,"2,380 tons",30 knots,12,anti-submarine,OhdrNJN
Köln-class frigate,1961,Germany,"2,100 tons",30 knots,6,fast,ZpfgDB
River-class,1961,Australia,"2,100 tons",30 knots,6,,BTqXk
River-class,1961,Japan,"1,490 tons",25 knots,4,,FvBZaYm
Type 81 frigate,1961,UK,"2,300 tons",28 knots,7,general purpose,MoxdKXT
Bergamini-class frigate,1961,Italy,"1,410 tons",26 knots,4,,ZrwImh
Commandant Rivière-class frigate,1962,France,"1,750 tons",25 knots,13,dual purpose,PfyvMw
Mackenzie-class,1962,Canada,"2,366 tons",28 knots,4,anti-submarine,UXhcnR
Hvidbjørnen-class frigate,1962,Denmark,"1,345 tons",18 knots,4,fishery protection,rqXWK
