Name,Date,Nation,Displacement,Speed,Number,Notes,Irrelevant_1
Type 12I frigate,1963,UK,"2,450 tons",30 knots,26,general purpose,jctHxS
Bronstein-class,1963,US,"2,360 tons",26 knots,2,,JSJre1Z
Garcia-class,1964,US,"2,620 tons",27 knots,10,,nM2pK9SH
Oslo-class frigate,1966,Norway,"1,450 tons",25 knots,5,,K5zcNb
Brooke-class,1966,US,"2,640 tons",27 knots,6,guided missile,prF3MiP
Peder Skram-class frigate,1966,Denmark,"2,030 tons",28 knots,2,fast,jXJlzg
Van Speijk-class frigate,1967,Netherlands,"2,200 tons",28 knots,6,,Fr1dUOo
Alpino-class frigate,1968,Italy,"2,000 tons",28 knots,2,,PyO7WH
Alvand-class frigate,1968,Iran,"1,110 tons",40 knots,4,,e4yVn
Knox-class,1969,US,"3,011 tons",27 knots,46,,8ETEJz7w
Chikugo-class,1971,Japan,"1,470 tons",25 knots,11,,PS4xMM
