Name,Audition taken in,Gang,Notes
Pradeep Singh,New Delhi,Brats,Evicted in the 7th episode by challenge from Nauman in Zorb task.
Suzanna Mukherjee (Suzi),Mumbai,Brats,Voted out in the 6th episode.
Roop Bhinder,New Delhi,Brats,Voted out in the 5th episode.
Devarshi Patel (Dev),Ahmedabad,Om Blues,Eliminated himself in the 5th episode by voluntarily entering a Casket.
Varisha Hawelia,Kolkata,Om Blues,Voted out in the 2nd episode.
Sonia Chauhan,Chandigarh,,"Evicted in the 1st episode, after losing the obstacle race challenge."
Bhanu Pratap Singh Rana,Ahmedabad,,"Evicted in the 1st episode, after losing the obstacle race challenge."
Neha Kapoor,New Delhi,,"Evicted in the 1st episode, after losing the obstacle race challenge."
Ankur Khanduja,Chandigarh,,"Evicted in the 1st episode, after losing the obstacle race challenge."
Vicky Arora,Ahmedabad,,"Evicted in the 1st episode, after losing the obstacle race challenge."
