Season,Series,Team,Races,Wins,Poles,F/Laps,Podiums,Points,Position,Extra_Data_1
2005,Formula One,BMW Williams F1 Team,Test driver,Test driver,Test driver,Test driver,Test driver,Test driver,Test driver,132
2006,Formula One,WilliamsF1 Team,18,0,0,1,0,4,17th,207
2007,Formula One,AT&T Williams,17,0,0,0,0,20,9th,51
2008,Formula One,AT&T Williams,18,0,0,0,2,17,13th,976
2009,Formula One,AT&T Williams,17,0,0,1,0,34.5,7th,162
2010,Formula One,Mercedes GP Petronas F1 Team,19,0,0,0,3,142,7th,19
2011,Formula One,Mercedes GP Petronas F1 Team,19,0,0,0,0,89,7th,703
2012,Formula One,Mercedes AMG Petronas F1 Team,20,1,1,2,2,93,9th,904
2013,Formula One,Mercedes AMG Petronas F1 Team,19,2,3,0,4,171,6th,888
2014,Formula One,Mercedes AMG Petronas F1 Team,2,1,0,1,2,43*,1st*,486
