Outcome,No.,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final
Winner,18.,5 December 1981,Australian Open,Grass,Kathy Jordan,Martina Navratilova Pam Shriver,"6–2, 7–5"
Winner,19.,10 January 1982,"Washington, D.C.",Carpet,Kathy Jordan,Martina Navratilova Pam Shriver,"6–2, 3–6, 6–1"
Runner-up,20.,17 January 1982,Cincinnati,Carpet,Pam Shriver,Sue Barker Ann Kiyomura,"2–6, 6–7"
Runner-up,21.,24 January 1982,Seattle,Carpet,Kathy Jordan,Rosemary Casals Wendy Turnbull,"5–7, 4–6"
Runner-up,22.,14 February 1982,Kansas City,Carpet,Mary Lou Piatek,Barbara Potter Sharon Walsh,"6–4, 2–6, 2–6"
Winner,20.,7 March 1982,Los Angeles,Carpet,Kathy Jordan,Barbara Potter Sharon Walsh,"6–3, 7–5"
Winner,21.,20 March 1982,Boston,Carpet,Kathy Jordan,Rosemary Casals Wendy Turnbull,"7–6, 2–6, 6–4"
Runner-up,23.,28 March 1982,New York City,Carpet,Kathy Jordan,Martina Navratilova Pam Shriver,"4–6, 3–6"
Runner-up,24.,18 April 1982,Fort Worth,Clay,Kathy Jordan,Martina Navratilova Pam Shriver,"5–7, 3–6"
Runner-up,25.,2 May 1982,Orlando,Clay,Kathy Jordan,Rosemary Casals Wendy Turnbull,"3–6, 3–6"
Winner,22.,5 June 1982,French Open,Clay,Martina Navratilova,Rosemary Casals Wendy Turnbull,"6–3, 6–4"
