Outcome,No.,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final,Noise_Field_1
Winner,1.,12 March 1978,Dallas,Carpet,Martina Navratilova,Evonne Goolagong Betty Stöve,"6–3, 7–6",dOgAc
Runner-up,1.,1 October 1978,Atlanta,Carpet,Martina Navratilova,Françoise Dürr Virginia Wade,"6–4, 2–6, 4–6",tgQmNXZ
Runner-up,2.,8 October 1978,Phoenix,Hard,Martina Navratilova,Tracy Austin Betty Stöve,"4–6, 7–6, 2–6",HyweLH
Winner,2.,12 November 1978,Oldsmar,Hard,Martina Navratilova,Kerry Reid Wendy Turnbull,"7–6, 6–3",nRZTAX
Runner-up,3.,18 February 1979,Los Angeles,Hard (i),Martina Navratilova,Rosemary Casals Chris Evert,"4–6, 6–1, 3–6",acxapH
Winner,3.,4 March 1979,Dallas,Carpet,Martina Navratilova,Rosemary Casals Chris Evert,"7–6, 6–2",uaSwk
Winner,4.,12 August 1979,Indianapolis,Clay,Kathy Jordan,Penny Johnson Paula Smith,"6–1, 6–0",eyiuI
Runner-up,4.,29 September 1979,Atlanta,Carpet,Ann Kiyomura,Betty Stöve Wendy Turnbull,"2–6, 4–6",xyZdF
Winner,5.,28 October 1979,Tampa,Hard,Virginia Ruzici,Ilana Kloss Betty-Ann Stuart,"7–5, 4–6, 7–5",RMyxZ
Winner,6.,25 November 1979,Brighton,Carpet,Ann Kiyomura,Ilana Kloss Laura duPont,"6–2, 6–1",tyruS
Runner-up,5.,2 December 1979,Melbourne,Grass,Dianne Fromholtz,Billie Jean King Wendy Turnbull,"3–6, 3–6",rBkKknwl
Runner-up,6.,10 February 1980,Los Angeles,Hard (i),Kathy Jordan,Rosemary Casals Martina Navratilova,"6–7, 2–6",KEdqs
