Outcome,No.,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final,Noise_Field_1
Runner-up,7.,24 February 1980,Detroit,Carpet,Kathy Jordan,Billie Jean King Ilana Kloss,"6–3, 3–6, 2–6",wHkfxP
Winner,7.,13 April 1980,Hilton Head,Clay,Kathy Jordan,Candy Reynolds Paula Smith,"6–2, 6–1",ZneVg
Winner,8.,7 June 1980,French Open,Clay,Kathy Jordan,Ivanna Madruga Adriana Villagran,"6–1, 6–0",JGZIn
Winner,9.,21 June 1980,Eastbourne,Grass,Kathy Jordan,Pam Shriver Betty Stöve,"6–4, 6–1",huqAI
Winner,10.,5 July 1980,Wimbledon,Grass,Kathy Jordan,Rosemary Casals Wendy Turnbull,"4–6, 7–5, 6–1",HQdVYvyg
Winner,11.,20 July 1980,Montreal,Hard,Pam Shriver,Ann Kiyomura Greer Stevens,"3–6, 6–6 ret.",tTMVj
Runner-up,8.,27 July 1980,Richmond,Carpet,Pam Shriver,Billie Jean King Martina Navratilova,"4–6, 6–4, 3–6",ChyVgS
Winner,12.,10 August 1980,Indianapolis,Clay,Paula Smith,Virginia Ruzici Renáta Tomanová,"4–6, 6–3, 6–4",pBclrea
Winner,13.,21 September 1980,Las Vegas,Hard (i),Kathy Jordan,Martina Navratilova Betty Stöve,"2–6, 6–4, 6–3",FqfeHci
Runner-up,9.,28 September 1980,Atlanta,Carpet,Kathy Jordan,Barbara Potter Sharon Walsh,"3–6, 1–6",hsrlP
Runner-up,10.,5 October 1980,Minneapolis,Carpet,Paula Smith,Ann Kiyomura Candy Reynolds,"3–6, 6–4, 1–6",xRfSeE
Winner,14.,26 October 1980,Brighton,Carpet,Kathy Jordan,Martina Navratilova Betty Stöve,"6–3, 7–5",KKNojSvJ
