Outcome,No.,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final,Dummy_Col_1,Random_Column_2
Runner-up,34.,7 July 1984,Wimbledon,Grass,Kathy Jordan,Martina Navratilova Pam Shriver,"3–6, 4–6",gWtLeN,QVQFYGbP
Winner,26.,31 March 1985,Palm Beach Gardens,Clay,Joanne Russell,Laura Arraya Gabriela Sabatini,"1–6, 6–1, 7–6(4)",LKXiZ,ADgpbCi
Runner-up,35.,26 January 1986,Wichita,Carpet,Joanne Russell,Kathy Jordan Candy Reynolds,"3–6, 7–6(5), 3–6",vyPaGl,TdI9MHq
Winner,27.,9 March 1986,Hershey,Carpet,Candy Reynolds,Sandy Collins Kim Sands,"7–6(8), 6–1",TlMYSh,ldgOfzE2
Winner,28.,5 October 1986,New Orleans,Carpet,Candy Reynolds,Svetlana Parkhomenko Larisa Savchenko,"6–3, 3–6, 6–3",AZCvWL,ViuT4
Runner-up,36.,2 November 1986,Indianapolis,Hard (i),Candy Reynolds,Zina Garrison Lori McNeil,5–4 ret.,eqbtRxk,n6C20
Winner,29.,18 February 1990,Chicago,Carpet,Martina Navratilova,Arantxa Sánchez Vicario Nathalie Tauziat,"6–7(9), 6–4, 6–3",IvTnolpr,SgUS0j
Runner-up,37.,22 July 1990,Newport,Grass,Patty Fendick,Lise Gregory Gretchen Magers,"6–7(7), 1–6",qTWCHTbR,jwc8CY
Winner,30.,12 August 1990,Albuquerque,Hard,Meredith McGrath,Mareen Louie-Harper Wendy White,"7–6(2), 6–4",EaRnV,7haUpp
Winner,31.,4 November 1990,Oakland,Carpet,Meredith McGrath,Rosalyn Fairbank Robin White,"2–6, 6–0, 6–4",byUkfK,HLjQETv
Winner,32.,24 February 1991,Oklahoma City,Hard (i),Meredith McGrath,Katrina Adams Jill Hetherington,"6–2, 6–4",ZzLqSTF,gIO61
