#,Weekend End Date,Film,Weekend Gross (millions),Notes,Unused_1,Dummy_Col_2
23,"June 8, 2008",Kung Fu Panda,$3.53,,,bmalkJ
24,"June 15, 2008",The Incredible Hulk,$3.07,,,MvXaMkm
25,"June 22, 2008",Get Smart,$2.42,,,RRRPEh
26,"June 29, 2008",Wanted,$3.10,WALL-E was #1 in North America.,,inrOJRe
27,"July 6, 2008",Hancock,$3.67,,,hZBRor
28,"July 13, 2008",Hellboy II: The Golden Army,$2.50,,,rnvnuhY
29,"July 20, 2008",The Dark Knight,$10.53,The Dark Knight had the highest weekend debut of 2008.,,JrDYXTNi
30,"July 27, 2008",The Dark Knight,$5.84,,,dEpfnvbj
31,"August 3, 2008",The Dark Knight,$3.65,,,kxIQpPTy
32,"August 10, 2008",The Dark Knight,$2.39,,,KLGxrz
