#,Weekend End Date,Film,Weekend Gross (millions),Notes
33,"August 17, 2008",Tropic Thunder,$2.11,
34,"August 24, 2008",Tropic Thunder,$1.45,
35,"August 31, 2008",Tropic Thunder,$1.48,
36,"September 7, 2008",Bangkok Dangerous,$0.80,
37,"September 14, 2008",Burn After Reading,$1.75,
38,"September 21, 2008",Burn After Reading,$1.15,Lakeview Terrace was #1 in North America.
39,"September 28, 2008",Eagle Eye,$2.20,
40,"October 5, 2008",Eagle Eye,$1.16,Beverly Hills Chihuahua was #1 in North America.
41,"October 12, 2008",Body of Lies,$1.18,Beverly Hills Chihuahua was #1 in North America.
42,"October 19, 2008",Max Payne,$1.50,
