#,Weekend End Date,Film,Weekend Gross (millions),Notes
12,"March 23, 2008",Horton Hears a Who!,$1.99,
13,"March 30, 2008",21,$2.17,
14,"April 6, 2008",21,$1.63,
15,"April 13, 2008",Prom Night,$1.25,
16,"April 20, 2008",The Forbidden Kingdom,$1.77,
17,"April 27, 2008",Harold & Kumar Escape from Guantanamo Bay,$2.34,Baby Mama was #1 in North America.
18,"May 4, 2008",Iron Man,$7.49,
19,"May 11, 2008",Iron Man,$3.93,
20,"May 18, 2008",The Chronicles of Narnia: Prince Caspian,$4.11,
21,"May 25, 2008",Indiana Jones and the Kingdom of the Crystal Skull,$7.00,
22,"June 1, 2008",Sex and the City,$4.88,
