,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Irrelevant_1
1970,38,761,299,462,20.0,7.9,12.2,WS3HVqlm
1975,42,857,317,540,20.4,7.5,12.9,J1v62a
1980,46,996,333,663,21.7,7.2,14.4,o6FmX
1985,51,1 104,370,734,21.6,7.3,14.4,eDlVxQ
1990,51,842,360,482,16.4,7.0,9.4,0CRcd
1991,50,789,335,454,15.8,6.7,9.1,qEB8tml
1992,48,692,401,291,14.4,8.3,6.0,ATN36Y
1993,46,617,448,169,13.4,9.7,3.7,KH7hZIIg
1994,44,585,518,67,13.3,11.8,1.5,5fDDX9N
1995,43,537,501,36,12.6,11.8,0.8,hpGjFpVp
1996,42,486,441,45,11.7,10.6,1.1,aI6rws
