Call sign,Frequency,City of License,Licensee,Format
KPPR,89.5 FM,Williston,"Prairie Public Broadcasting, Inc.",Variety
KPPW,88.7 FM,Williston,"Prairie Public Broadcasting, Inc.",Variety
KPRJ,91.5 FM,Jamestown,"Prairie Public Broadcasting, Inc.",Variety
KQDJ,1400 AM,Jamestown,Two Rivers Broadcasting,Country
KQDJ-FM,101.1 FM,Valley City,Sioux Valley Broadcasting,Pop Contemporary Hit Radio
KQDY,94.5 FM,Bismarck,"CC Licenses, LLC",Country
KQLX,890 AM,Lisbon,"Great Plains Integrated Marketing, Inc.",News Talk Information
KQLX-FM,106.1 FM,Lisbon,"Great Plains Integrated Marketing, Inc.",Country
KQLZ,95.7 FM,New England,"Synergy Broadcast North Dakota, LLC",
KQWB,1660 AM,West Fargo,"L&L Licensee, LLC",Oldies
KQZZ,96.7 FM,Devils Lake,"Two Rivers Broadcasting, Inc.",Hot Adult Contemporary
KRRZ,1390 AM,Minot,"Aloha Station Trust, LLC",Oldies
