Call sign,Frequency,City of License,Licensee,Format,Irrelevant_1,Random_Column_2
KDAK,1600 AM,Carrington,Two Rivers Broadcasting,Country,qXRkr,yR7NT
KDDR,1220 AM,Oakes,Sioux Valley Broadcasting,Country,NCExU,aqeiJ
KDIX,1230 AM,Dickinson,"Starrdak, Inc.",Classic Hits,f34mbOE,XhWX8
KDKT,1410 AM,Beulah,Digital Syndicate Network,All Sports,3jK6ymfF,Z1TShq
KDLR,1240 AM,Devils Lake,Double Z Broadcasting,Classic Country,1OU0MeQ,GkP1o
KDPR,89.9 FM,Dickinson,"Prairie Public Broadcasting, Inc.",Variety,lU6C1A1,JkgJxDdf
KDSR,101.1 FM,Williston,Williston Community Broadcasting Corp. d/b/a KDSR(FM),Adult Hits,8wXjMX,5BuAz2
KDSU,91.9 FM,Fargo,North Dakota State University,Variety,RcpaOBd,i0Gxh1b
KDVI,89.9 FM,Devils Lake,American Family Association,Religious,cS7lhE,X8hY3H
KDVL,102.5 FM,Devils Lake,Double Z Broadcasting,Classic Hits,YgBMh,1GBhyR
KDXN,105.7 FM,South Heart,Totally Amped LLC,,tcjKo,DP4Dq
KEGK,106.9 FM,Wahpeton,"SMAHH Communications II, Inc.",Classic Hits,nvs0qjms,7IFwPthj
KEYA,88.5 FM,Belcourt,"KEYA, Inc.",Country,G6c7UQS,dE6wCf
