Call sign,Frequency,City of License,Licensee,Format
KNDR,104.7 FM,Mandan,Central Dakota Enterprises,Contemporary Christian
KNDS-LP,96.3 FM,Fargo,Alliance for the Arts and Humanities,
KNDW,91.7 FM,Williston,American Family Association,Contemporary Christian
KNOX,1310 AM,Grand Forks,"Leighton Enterprises, Inc.",News Talk Information
KNRI,89.7 FM,Bismarck,Educational Media Foundation,Contemporary Christian
KOBT-LP,101.3 FM,Grand Forks,Grand Forks Christian Broadcasting,
KOVC,1490 AM,Valley City,Sioux Valley Broadcasting,Country
KOWW-LP,98.1 FM,Burlington,Pointe of View Institute,
KPAR-LP,103.7 FM,Dickinson,Higher Plain Media,
KPFX,107.9 FM,Fargo,"L&L Licensee, LLC",Classic Rock
KPHA,91.3 FM,Mandan,Real Presence Radio,
KPOK,1340 AM,Bowman,Tri-State Communications,Country
KPPD,91.7 FM,Devils Lake,"Prairie Public Broadcasting, Inc.",Variety
