Call sign,Frequency,City of License,Licensee,Format
KRVX,103.1 FM,Wimbledon,James River Broadcasting,Album Oriented Rock
KRWK,101.9 FM,Fargo,"Midwest Communications, Inc.",Mainstream Rock
KSAF-LP,104.1 FM,Minot,"True Light Broadcasting, Inc.",
KSIH,90.1 FM,Belcourt,"Radio Maria, Inc.",
KSJB,600 AM,Jamestown,"Chesterman Communications of Jamestown, Inc.",Classic Country
KSJZ,93.3 FM,Jamestown,"Chesterman Communications of Jamestown, Inc.",Hot AC
KSLS,90.7 FM,Dickinson,Bethesda Christian Broadcasting,
KSSS,101.5 FM,Bismarck,"CC Licenses, LLC",Active Rock
KTGO,1090 AM,Tioga,Bakken Beacon Media LLC,News Talk Information
KTWJ,90.9 FM,Moffit-Lincoln,Bismarck Adventist Education Station,
KTZU,94.9 FM,Velva,Programmers Broadcasting,Classic Rock
KUND-FM,89.3 FM,Grand Forks,University of North Dakota,Variety
