Call sign,Frequency,City of License,Licensee,Format
KJKJ,107.5 FM,Grand Forks,"Citicasters Licenses, Inc.",Active Rock
KJKR,88.1 FM,Jamestown,Jamestown College,
KJND-FM,90.7 FM,Williston,"Hi-Line Radio Fellowship, Inc.",
KJTW,89.9 FM,Jamestown,American Family Association,Religious
KKBO,105.9 FM,Flasher,"Radio Bismarck Mandan, LLC",Country
KKCT,97.5 FM,Bismarck,"Townsquare Media Bismarck License, LLC",Pop Contemporary Hit Radio
KKLQ,100.7 FM,Harwood,Educational Media Foundation,Contemporary Christian
KKXL,1440 AM,Grand Forks,"Citicasters Licenses, Inc.",All Sports
KKXL-FM,92.9 FM,Grand Forks,"Citicasters Licenses, Inc.",Pop Contemporary Hit Radio
KLBE-LP,100.7 FM,Bismarck,New Song Community Church,
KLBF,89.1 FM,Lincoln,Educational Media Foundation,Southern Gospel
KLTC,1460 AM,Dickinson,"CC Licenses, LLC",Classic Country
KLTQ,97.9 FM,Beulah,"Synergy Broadcast North Dakota, LLC",
