Call sign,Frequency,City of License,Licensee,Format,Dummy_Col_1,Filler_2
KUSB,103.3 FM,Hazelton,"Townsquare Media Bismarck License, LLC",Country,TuhxThae,YJpsf
KVOX,740 AM,Fargo,"Midwest Communications, Inc.",All Sports,VkdSecH,XdRaUK
KWGO,102.9 FM,Burlington,Programmers Broadcasting,Adult Contemporary,jAglG,TfFfDVu
KWTL,1370 AM,Grand Forks,Real Presence Radio,Religious,qnxLVvLB,FiXMsCi
KXDI,93.9 FM,Belfield,Williston Community Broadcasting Corporation,,BUzmebrX,ymWwRczr
KXGT,98.3 FM,Carrington,Two Rivers Broadcasting,Classic Hits,jhWKM,zLGmvyw
KXMR,710 AM,Bismarck,"CC Licenses, LLC",All Sports,wKknXMA,zynYq
KXPO,1340 AM,Grafton,Simmons Broadcasting,Country,WSkiZu,xKuEgIu
KXRV,107.5 FM,Cannon Ball,Radio Bismarck-Mandan,Classic Hits,DbLfj,CPgjltD
KYNU,95.5 FM,Jamestown,Two Rivers Broadcasting,New Country,xLyPNL,vOoctPaX
KYTZ,106.7 FM,Walhalla,Simmons Broadcasting,Hot Adult Contemporary,IHXkqbQV,UGDlkC
KYYX,97.1 FM,Minot,"CC Licenses, LLC",Country,JxsNGYTA,jdxTdeQ
