Call sign,Frequency,City of License,Licensee,Format
KEYZ,660 AM,Williston,"CCR-Williston IV, LLC",News Talk Information
KFAA,89.5 FM,Horace,Selah Corporation,Contemporary Christian
KFBN,88.7 FM,Fargo,Fargo Baptist Church,Religious
KFGO,790 AM,Fargo,"Midwest Communications, Inc.",News Talk Information
KFJM,90.7 FM,Grand Forks,University of North Dakota,Adult Album Alternative
KFNW,1200 AM,West Fargo,Northwestern College,Religious
KFNW-FM,97.9 FM,Fargo,Northwestern College,Contemporary Christian
KFYR,550 AM,Bismarck,"Citicasters Licenses, Inc.",News Talk Information
KHND,1470 AM,Harvey,Three Way Broadcasting,Classic Rock
KHRT,1320 AM,Minot,Faith Broadcasting,Southern Gospel
KHRT-FM,106.9 FM,Minot,Faith Broadcasting,Contemporary Christian
KIZZ,93.7 FM,Minot,"CC Licenses, LLC",Pop Contemporary Hit Radio
KJIT-LP,106.7 FM,Bismarck,He Will Provide Radio,
