Call sign,Frequency,City of License,Licensee,Format,Dummy_Col_1,Irrelevant_2
KABU,90.7 FM,Fort Totten,"Dakota Circle Tipi, Inc.",Educational,PGSMkDpl,BAJJWKy
KACL,98.7 FM,Bismarck,"Townsquare Media Bismarck License, LLC",Classic Hits,YYvTQ,KcjNii
KAOC,105.1 FM,Cavalier,Simmons Broadcasting,Country,FsXxjQ,uNhMAgDY
KAUJ,100.9 FM,Grafton,Simmons Broadcasting,Oldies,GDOgVkN,Wkh2GR
KBEP-LP,93.7 FM,Bismarck,Bismarck Educational Prayer Association,,eiLzbT,41AMLLxX
KBFR,91.7 FM,Bismarck,"Family Stations, Inc.",Contemporary Christian,UdzkqeR,kg8jI
KBMK,88.3 FM,Bismarck,Educational Media Foundation,Contemporary Christian,UQSxFk,0NqSWs8H
KBMR,1130 AM,Bismarck,"CC Licenses, LLC",Classic Country,GgFMaEwN,AM9sum
KBTO,101.9 FM,Bottineau,Programmers Broadcasting,Country,tbKrQWL,r0XLSh
KBYZ,96.5 FM,Bismarck,"Townsquare Media Bismarck License, LLC",Classic Rock,FeRgX,YAxrUa
KCAD,99.1 FM,Dickinson,"CC Licenses, LLC",Country,JnSRpf,lPYeAyt
KCJB,910 AM,Minot,"CC Licenses, LLC",Classic Country,byEUJx,kDSvrX
KCND,90.5 FM,Bismarck,"Prairie Public Broadcasting, Inc.",Variety,hMbiy,8U5qRoJ
