Call sign,Frequency,City of License,Licensee,Format
KYYY,92.9 FM,Bismarck,"Citicasters Licenses, Inc.",Pop Contemporary Hit Radio
KYYZ,96.1 FM,Williston,"CCR-Williston IV, LLC",New Country
KZDR,92.7 FM,Kindred,"Mediactive, LLC",Classic Hits
KZGF,94.7 FM,Grand Forks,"Leighton Enterprises, Inc.",Pop Contemporary Hit Radio
KZPR,105.3 FM,Minot,"CC Licenses, LLC",Album Oriented Rock
KZRX,92.1 FM,Dickinson,"CC Licenses, LLC",Album Oriented Rock
KZTK,103.9 FM,Arthur,"Vision Media, Inc.",New Country
KZZJ,1450 AM,Rugby,"Rugby Broadcasters, Inc.",Country
KZZQ,101.9 FM,Richardton,Real Presence Radio,
KZZY,103.5 FM,Devils Lake,Double Z Broadcasting,Country
WDAY,970 AM,Fargo,Forum Communications,News Talk Information
WDAY-FM,93.7 FM,Fargo,"Midwest Communications, Inc.",Pop Contemporary Hit Radio
