Call sign,Frequency,City of License,Licensee,Format
KLUU,89.1 FM,Jamestown,Educational Media Foundation,
KLXX,1270 AM,Bismarck-Mandan,"Townsquare Media Bismarck License, LLC",News Talk Information
KMAV-FM,105.5 FM,Mayville,"KMSR, Inc.",Country
KMHA,91.3 FM,Four Bears,Fort Berthold Communications Enterprises,Variety
KMJO,104.7 FM,Hope,"Midwest Communications, Inc.",Adult Contemporary
KMPR,88.9 FM,Minot,"Prairie Public Broadcasting, Inc.",Variety
KMSR,1520 AM,Mayville,"KMSR, Inc.",All Sports
KMXA-FM,99.9 FM,Minot,"CC Licenses, LLC",Adult Contemporary
KNDC,1490 AM,Hettinger,Schweitzer Media,Country
KNDH,102.3 FM,Hettinger,Midnation Media LLC,
KNDK,1080 AM,Langdon,"KNDK, Inc.",News Talk Information
KNDK-FM,95.7 FM,Langdon,"KNDK, Inc.",Classic Rock
KNDL,100.7 FM,Berthold,Educational Media Foundation,
