Name,,Local names,Sort,"Canton(s), neighboring countries",Area in km²,Elevationm,max. depthin meter,Irrelevant_1
Grimselsee,↑,Grimselsee,Grimsel,Berne,2.63,1908,100,9t9m5
Lake Lungern,*,"Lungerersee, Lungernsee",Lungern,Obwalden,2.01,688,68,TQRuqV
Lac de Mauvoisin,↑,Lac de Mauvoisin,Mauvoisin,Valais,2.08,1961,180,c5ZYm
Lago di Poschiavo,*,Lago di Poschiavo,Poschiavo,Grisons,1.98,962,85,X340RS
Lai da Sontga Maria,↑,Lai da Sontga Maria,St. Maria,"Grisons, Ticino",1.77,1908,86,KNmsn8v
Mattmarksee,↑,Mattmarksee,Mattmark,Valais,1.76,2197,93,D1WykvM
Lago di Vogorno,↑,Lago di Vogorno,Vogorno,Ticino,1.68,470,204,17TyAMQg
Lac de Salanfe,↑,Lac de Salanfe,Salanfe,Valais,1.62,1925,48,wIO7gPS1
Zervreilasee,↑,Zervreilasee,Zervreila,Grisons,1.61,1862,140,OrbQ4U
Lac de l'Hongrin,↑,Lac de l'Hongrin,Hongrin,Vaud,1.60,1255,105,gnug4e4
Lago Bianco,*,Lago Bianco,Bianco,Grisons,1.50,2234,53,PplpvSb
