Name,,Local names,Sort,"Canton(s), neighboring countries",Area in km²,Elevationm,max. depthin meter
Lago Ritom,*,Lago Ritom,Ritom,Ticino,1.49,1850,69
Oberaarsee,↑,Oberaarsee,Oberaar,Berne,1.47,2303,90
Lai da Marmorera,↑,Lai da Marmorera,Marmorera,Grisons,1.41,1680,65
Lac de Moiry,↑,Lac de Moiry,Moiry,Valais,1.40,2249,120
Limmernsee,↑,Limmernsee,Limmern,Glarus,1.36,1857,122
Göscheneralpsee,↑,Göscheneralpsee,Göscheneralp,Uri,1.32,1792,106
Lago di Luzzone,↑,Lago di Luzzone,Luzzone,Ticino,1.27,1606,181
Klingnauer Stausee,↑,Klingnauer Stausee,Klingnau,Aargau,1.16,318,8.5
Albigna lake,↑,Lago da l'AlbignaLägh da l'Albigna,Albigna,Grisons,1.13,2163,108
Oeschinen Lake,↑,Oeschinensee,Oeschinen,Berne,1.11,1578,56
Lago del Sambuco,↑,Lago del Sambuco,Sambuco,Ticino,1.11,1461,124
