Name,,Local names,Sort,"Canton(s), neighboring countries",Area in km²,Elevationm,max. depthin meter,Unused_1,Noise_Field_2
Lake Geneva,,"Lac Léman, Lac de Genève",Geneva,"Geneva, Vaud, Valais, France",580.03,372.0,310,,wEaau
Lake Constance,,Bodensee,Constance,"St. Gallen, Thurgau, Austria, Germany",536.00,395.6,252,,dvjzGj
Lake Neuchâtel,,"Lac de Neuchâtel, Neuenburgersee",Neuchâtel,"Berne, Fribourg, Neuchâtel, Vaud",215.20,429.4,153,,rEziQ
Lake Maggiore,,Lago Maggiore,Maggiore,"Ticino, Italy",210.12,193.5,372,,RoQsgsHY
Lake Lucerne,,Vierwaldstättersee,Lucerne,"Lucerne, Nidwalden, Obwalden, Schwyz, Uri",113.72,433.6,214,,TWumFiM
Lake Zurich,,Zürichsee,Zurich,"St. Gallen, Schwyz, Zurich",88.17,405.9,136,,IjOTe
Lake Lugano,,"Ceresio, Lago di Lugano",Lugano,"Ticino, Italy",48.67,270.5,288,,xdzgXs
Lake Thun,,Thunersee,Thun,Berne,47.74,557.8,215,,KAHTTTpN
Lake Biel,,"Lac de Bienne, Bielersee",Biel/Bienne,"Berne, Neuchâtel",39.51,429.1,74,,FBzqiHc
Lake Zug,,Zugersee,Zug,"Lucerne, Schwyz, Zug",38.41,413.6,198,,eIqEbA
Lake Brienz,,Brienzersee,Brienz,Berne,29.81,563.7,260,,DxhaVY
Lake Walen,,Walensee,Walen,"Glarus, St. Gallen",24.16,419.0,150,,OYSFVwqn
