Year,Film,Role,Notes
2000,Hadh Kar Di Aapne,Raju/Mummy/Daddy/Sweety/Dada/Dadi,Six Roles
2001,Aamdani Atthani Kharcha Rupaiyaa,Bhishma,
2001,Albela,Rocky Hiranandani,
2001,Censor,Himself,Special appearance
2001,Jodi No.1,Veeru,IIFA Best Comedian AwardNominated -Filmfare Award for Best Performance in a Comic Role
2001,Dil Ne Phir Yaad Kiya,Prem,
2001,Kyo Kii... Main Jhuth Nahin Bolta,Raj Malhotra,Nominated -Filmfare Award for Best Performance in a Comic Role
2002,Pyaar Diwana Hota Hai,Sunder,
2002,Waah! Tera Kya Kehna,Raj Oberoi/Banne Khan,Double Role
2002,Akhiyon Se Goli Maare,Raj Oberoi,Nominated -Filmfare Award for Best Performance in a Comic Role
2002,Chalo Ishq Ladaaye,Pappu,
2003,Ek Aur Ek Gyarah,Tara,
2003,Raja Bhaiya,Raja Bhaiya,
2003,Three Roses,Himself,Tamil Film - Guest appearance
2005,Ssukh,Chandraprakash Sharma,
