Year,Film,Role,Notes,Noise_Field_1
1996,Saajan Chale Sasural,Shyamsunder,Nominated- Filmfare Award for Best ActorFilmfare Special Award,WtrDY
1996,Chhote Sarkar,Amar/Rohit,,pGIFw
1996,Zordaar,Ravi,,shZBdLF
1996,Maahir,Bhola,,gLkABNr
1996,Apne Dam Par,Himself,Special appearance,GkMEY
1997,Hero No. 1,Rajesh Malhotra,,SuvKaqfs
1997,Kaun Rokega Mujhe,,,ZilzSEXh
1997,Deewana Mastana,Bunnu,Nominated - Filmfare Best Actor Award,qTOuwlu
1997,Do Ankhen Barah Hath,Sagar,,BTpVaPY
1997,Agnichakra,Amar,,WJymef
1997,Loha,Govinda,,jBAFK
1997,Banarasi Babu,Gopi,,eHOaUF
1997,Dil Deewana Maane Na,,,VpWUGVr
1997,Bhoot Bhungla,Dewan,,XObEXBxe
1998,Achanak,Arjun,,mVirMGj
