Year,Film,Role,Notes
2005,Khullam Khulla Pyaar Karen,Raja/Vicky,
2006,Sandwich,Shekhar/Vicky/Sher Singh,Double Role
2006,Bhagam Bhag,Babla,One of the biggest hit of the year
2007,Salaam-e-Ishq: A Tribute to Love,Raju,
2007,Partner,Bhaskar Diwakar Chowdahry,IIFA Best Comedian AwardZee Cine Award for Best Actor in a Supporting Role – MaleStar Gold Excellent Comic Actor AwardMTV Lycra Style Most Stylish Comeback AwardNDTV Imagine Best Jodi of the Year with Salman Khan
2007,Jahan Jaaeyega Hamen Paaeyega,Karan/Bobby Singh/Sher Khan,
2007,Om Shanti Om,Himself,Special appearance
2008,Money Hai Toh Honey Hai,Bobby Arora,
2008,Humsey Hai Jahaan,,Special appearance
2009,Chal Chala Chal,Deepak,
2009,Life Partner,Jeet Oberoi,
2009,Do Knot Disturb,Raj,
2009,Wanted,Himself,Special appearance
2010,Raavan,Vijay Kumar,
2011,Naughty @ 40,Sanjeev Srivastav,
